table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C13,horizontal_projection,East & West,2.8,,40,0.3963,43
C13,horizontal_projection,East & West,2.8,,50,0.3963,43
C13,horizontal_projection,East & West,2.9,,0,0.4339,43
C13,horizontal_projection,East & West,2.9,,10,0.4081,43
C13,horizontal_projection,East & West,2.9,,20,0.3963,43
C13,horizontal_projection,East & West,2.9,,30,0.3963,43
C13,horizontal_projection,East & West,2.9,,40,0.3963,43
C13,horizontal_projection,East & West,2.9,,50,0.3963,43
C13,horizontal_projection,East & West,3.0,,0,0.4333,43
C13,horizontal_projection,East & West,3.0,,10,0.4067,43
C13,horizontal_projection,East & West,3.0,,20,0.3963,43
C13,horizontal_projection,East & West,3.0,,30,0.3963,43
C13,horizontal_projection,East & West,3.0,,40,0.3963,43
C13,horizontal_projection,East & West,3.0,,50,0.3963,43
C14,horizontal_projection,North-East & North-West,0.1,,0,0.9273,44
C14,horizontal_projection,North-East & North-West,0.1,,10,0.9193,44
C14,horizontal_projection,North-East & North-West,0.1,,20,0.9137,44
C14,horizontal_projection,North-East & North-West,0.1,,30,0.9106,44
C14,horizontal_projection,North-East & North-West,0.1,,40,0.9101,44
C14,horizontal_projection,North-East & North-West,0.1,,50,0.9122,44
C14,horizontal_projection,North-East & North-West,0.2,,0,0.8630,44
C14,horizontal_projection,North-East & North-West,0.2,,10,0.8471,44
C14,horizontal_projection,North-East & North-West,0.2,,20,0.8355,44
C14,horizontal_projection,North-East & North-West,0.2,,30,0.8285,44
C14,horizontal_projection,North-East & North-West,0.2,,40,0.8263,44
C14,horizontal_projection,North-East & North-West,0.2,,50,0.8291,44
C14,horizontal_projection,North-East & North-West,0.3,,0,0.8054,44
C14,horizontal_projection,North-East & North-West,0.3,,10,0.7820,44
C14,horizontal_projection,North-East & North-West,0.3,,20,0.7644,44
C14,horizontal_projection,North-East & North-West,0.3,,30,0.7533,44
C14,horizontal_projection,North-East & North-West,0.3,,40,0.7489,44
C14,horizontal_projection,North-East & North-West,0.3,,50,0.7515,44
C14,horizontal_projection,North-East & North-West,0.4,,0,0.7563,44
C14,horizontal_projection,North-East & North-West,0.4,,10,0.7278,44
C14,horizontal_projection,North-East & North-West,0.4,,20,0.7055,44
C14,horizontal_projection,North-East & North-West,0.4,,30,0.6895,44
C14,horizontal_projection,North-East & North-West,0.4,,40,0.6803,44
